simple_id,param_id,smirks,equilibrium_value
a100,specificity=3 index=67 count=14,[!#1;r3:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r5:3],N/A
a101,specificity=3 index=68 count=14,[!#1;r6:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r6:3],N/A
a102,specificity=3 index=69 count=14,[!#1;r6:1]~[#15X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r6:3],N/A
a103,specificity=3 index=70 count=14,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r7:2]~[#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a104,specificity=3 index=71 count=13,[!#1;r4:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r6:3],N/A
a105,specificity=3 index=72 count=12,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X2;!r3;!r4;!r5;!r6;!r7;!r8:2]~[#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a106,specificity=3 index=73 count=12,[!#1;r6:1]~[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r6:3],N/A
a107,specificity=3 index=74 count=12,[!#1;r3:1]~[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r6:3],N/A
a108,specificity=3 index=75 count=12,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#16X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r4:3],N/A
a109,specificity=3 index=76 count=12,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r6:3],N/A
a110,specificity=3 index=77 count=12,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#15X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r3:3],N/A
